date,temperature_2m,relative_humidity_2m,precipitation,rain,showers,evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_direction_180m,wind_gusts_10m
2025-09-26 09:00:00+00:00,19.206501,75.0,0.0,0.0,0.0,0.01,0.55666137,7.10031,17.709658,17.902534,18.129137,239.53453,206.56499,195.15411,186.84268,14.4
2025-09-26 10:00:00+00:00,19.456501,70.0,0.0,0.0,0.0,0.01,0.6784874,7.653705,19.130875,19.13426,19.164719,228.81418,199.79897,191.94415,185.38922,15.4800005
2025-09-26 11:00:00+00:00,19.5065,69.0,0.0,0.0,0.0,0.02,0.7032902,7.928177,19.592731,19.48661,19.134262,230.52757,200.4329,191.72508,184.31595,16.199999
2025-09-26 12:00:00+00:00,19.706501,70.0,0.0,0.0,0.0,0.02,0.6890794,7.386582,19.137648,18.94024,19.09358,226.97493,196.38962,188.74608,182.16103,16.199999
2025-09-26 13:00:00+00:00,19.5565,72.0,0.0,0.0,0.0,0.02,0.63717604,6.8777895,18.345877,18.129137,18.0036,227.12111,195.94547,186.84268,181.14574,14.759999
2025-09-26 14:00:00+00:00,19.5565,72.0,0.0,0.0,0.0,0.01,0.63717604,6.638072,17.114204,17.015474,16.923828,229.39879,194.62091,186.07236,178.78116,14.04
2025-09-26 15:00:00+00:00,19.5065,72.0,0.0,0.0,0.0,0.02,0.6352042,6.9153743,16.171976,15.986595,15.84,231.34016,196.82149,187.76508,180.0,14.04
2025-09-26 16:00:00+00:00,19.456501,73.0,0.0,0.0,0.0,0.02,0.61061394,6.696387,15.281989,14.830076,14.404499,233.74606,195.01842,185.5721,178.56793,14.04
2025-09-26 17:00:00+00:00,20.1065,73.0,0.0,0.0,0.0,0.03,0.6356683,6.696387,14.934577,14.471821,14.044615,233.74606,195.37631,185.7105,178.53123,14.04
2025-09-26 18:00:00+00:00,22.6065,71.0,0.0,0.0,0.0,0.09,0.795486,5.634891,11.966954,13.276144,13.627795,153.43501,164.2913,167.4712,167.79955,13.32
2025-09-26 19:00:00+00:00,23.1565,75.0,0.0,0.0,0.0,0.18,0.70887804,9.449572,12.475961,12.7279215,13.246826,130.36446,133.83095,135.0001,137.20262,22.319998
2025-09-26 20:00:00+00:00,23.3065,78.0,0.0,0.0,0.0,0.21000002,0.62944174,12.496718,17.072504,17.566378,17.566378,131.49637,132.43619,134.16977,135.83023,29.16
2025-09-26 21:00:00+00:00,22.9065,82.0,0.0,0.0,0.0,0.18,0.5026927,12.538134,17.339897,18.089775,18.584509,129.17365,131.63345,132.58046,134.21527,30.239998
2025-09-26 22:00:00+00:00,23.5065,78.0,0.0,0.0,0.0,0.16,0.6370592,12.096214,16.363178,17.10284,17.31746,126.528946,129.64413,130.73203,133.31535,29.16
2025-09-26 23:00:00+00:00,23.956501,76.0,0.0,0.0,0.0,0.17,0.71402025,12.682018,17.935081,18.668005,18.864824,124.592354,128.48022,129.5226,131.90585,29.16
2025-09-27 00:00:00+00:00,23.8065,76.0,0.0,0.0,0.0,0.13,0.70762944,11.119281,15.683774,16.375053,16.489416,119.05451,121.865944,123.34073,126.11943,29.16
2025-09-27 01:00:00+00:00,23.6065,77.0,0.2,0.0,0.2,0.13,0.67004204,9.387651,13.392774,14.113652,14.529915,122.471176,126.25393,127.74687,131.98714,25.919998
2025-09-27 02:00:00+00:00,23.0565,81.0,0.2,0.0,0.2,0.09,0.5354543,7.9036193,11.384198,12.096214,12.538134,120.0685,124.69522,126.528946,129.17365,22.319998
2025-09-27 03:00:00+00:00,22.7565,82.0,0.2,0.0,0.2,0.06,0.49815798,6.9247384,10.883676,11.304229,11.720751,117.89718,124.21575,127.23492,132.5104,18.359999
2025-09-27 04:00:00+00:00,22.3065,85.0,0.0,0.0,0.0,0.04,0.4039526,5.4833565,10.00256,10.296251,10.703569,113.19862,120.256355,126.46933,132.27362,15.4800005
2025-09-27 05:00:00+00:00,21.5565,90.0,0.1,0.0,0.1,0.01,0.25727177,4.829907,9.290511,9.726664,10.44,116.56499,125.537766,128.991,133.60289,12.24
2025-09-27 06:00:00+00:00,21.0565,94.0,0.0,0.0,0.0,0.01,0.1497078,3.396233,7.653705,8.404285,8.404285,122.00535,131.18582,133.26433,136.73567,10.440001
2025-09-27 07:00:00+00:00,20.956501,95.0,0.0,0.0,0.0,-0.0,0.12399292,2.2768397,5.95906,6.439876,6.439876,161.56496,154.98314,153.43501,153.43501,7.2
2025-09-27 08:00:00+00:00,20.706501,97.0,0.0,0.0,0.0,-0.0,0.07326102,2.0991426,4.6102495,5.315336,5.634891,120.96369,141.34016,151.69934,153.43501,5.04
2025-09-27 09:00:00+00:00,20.3565,100.0,0.0,0.0,0.0,-0.0,0.0,2.3051248,5.0911684,5.6002855,5.3517847,128.65984,135.0001,135.0001,137.72638,5.3999996
2025-09-27 10:00:00+00:00,20.3065,100.0,0.0,0.0,0.0,-0.0,0.0,1.609969,4.1046314,5.8603754,6.1305785,153.43501,142.12495,132.5104,130.23628,5.3999996
2025-09-27 11:00:00+00:00,20.3065,99.0,0.0,0.0,0.0,-0.0,0.02382636,2.0991426,4.379589,5.00128,5.8603754,210.96368,170.53775,149.74365,137.4896,5.04
2025-09-27 12:00:00+00:00,20.4065,96.0,0.0,0.0,0.0,-0.0,0.09589815,1.835647,3.9763298,5.1165614,5.3517847,191.30989,174.80566,140.71062,137.72638,5.3999996
2025-09-27 13:00:00+00:00,20.206501,96.0,0.0,0.0,0.0,-0.0,0.09472418,1.8,4.6800003,5.8603754,5.3999996,180.0,157.3801,132.5104,126.86998,4.32
2025-09-27 14:00:00+00:00,20.1565,96.0,0.0,0.0,0.0,-0.0,0.09443259,2.0991426,3.8773184,5.0911684,5.00128,210.96368,158.19853,135.0001,120.256355,3.96
2025-09-27 15:00:00+00:00,19.956501,95.0,0.0,0.0,0.0,-0.0,0.116594315,3.219938,2.8799999,3.396233,3.5455887,243.43501,180.0,147.99466,113.962494,6.12
2025-09-27 16:00:00+00:00,19.8065,93.0,0.0,0.0,0.0,-0.0,0.16173148,3.0758414,2.1897945,2.3051248,2.5455842,249.44386,189.46225,141.34016,98.13002,6.12
2025-09-27 17:00:00+00:00,20.206501,91.0,0.0,0.0,0.0,0.01,0.21314502,1.835647,1.484318,2.0991426,2.5455842,258.6901,165.96373,120.96369,98.13002,6.12
2025-09-27 18:00:00+00:00,21.3065,89.0,0.0,0.0,0.0,0.06,0.2787161,5.04,5.3999996,5.3999996,4.379589,90.0,90.0,90.0,80.53775,12.24
2025-09-27 19:00:00+00:00,22.706501,83.0,0.0,0.0,0.0,0.14000002,0.4690547,6.87779,8.350138,8.350138,8.350138,83.99109,82.56869,82.56869,82.56869,17.28
